id,name,institution,department,departmentId,imageUrl,hIndex,i10Index,publications,citations,bio,researchInterests,domain,iitornit
abhinav_prakash,Abhinav Prakash,University of Minnesota,"University of Minnesota, Twin Cities","university_of_minnesota,_twin_cities",,22,32,0,2629,Professor at University of Minnesota specializing in Twin Cities.,"Twin Cities, Condensed Matter Physics",Physics,na
n._arvind_dasari,N. Arvind Dasari,University of Texas MD Anderson Cancer Center,University of Texas MD Anderson Cancer Center,university_of_texas_md_anderson_cancer_center,,42,107,0,11952,Professor at University of Texas MD Anderson Cancer Center specializing in Cancer Biology.,"Cancer Biology, Translational Research",Medical Sciences,na
balaji_narasimhan,Balaji Narasimhan,Iowa State University,Iowa State University; Rutgers University; MIT; Purdue University,iowa_state_university;_rutgers_university;_mit;_purdue_university,,62,171,0,12349,Professor at Iowa State University specializing in Nanotechnology.,"Nanotechnology, Drug Delivery",Other,na
balaraman_ravindran,Balaraman Ravindran,Indian Institute of Technology Madras,"Professor of Data Science and AI, Wadhwani School of Data Science and AI, IIT Madras","professor_of_data_science_and_ai,_wadhwani_school_of_data_science_and_ai,_iit_madras",,49,121,0,7305,Professor at Indian Institute of Technology Madras specializing in Reinforcement Learning.,"Reinforcement Learning, Artificial Intelligence",Computer Science,iit
baskar_ganapathysubramanian,Baskar Ganapathysubramanian,Iowa State University,"NSF/USDA AI Institute, Iowa State University","nsf/usda_ai_institute,_iowa_state_university",,52,158,0,11107,Professor at Iowa State University specializing in Agricultural Engineering.,"Agricultural Engineering, Artificial Intelligence",Computer Science,na
bhaskar_krishnamachari,Bhaskar Krishnamachari,University of Southern California,electrical,electrical,,87,310,0,35880,Professor at University of Southern California specializing in Wireless Networks.,"Wireless Networks, Internet of Things",Other,na
rao_r._bhavani,Rao R. Bhavani,Amrita Vishwa Vidyapeetham,cs,cs,,18,44,0,1284,Professor at Amrita Vishwa Vidyapeetham specializing in Human-Computer Interaction.,"Human-Computer Interaction, Assistive Technologies",Other,na
biswarup_mukhopadhyay,Biswarup Mukhopadhyay,Virginia Tech,"Professor of Biochemistry, Virginia Tech; Adjunct faculty, Virginia Tech Carilion School","professor_of_biochemistry,_virginia_tech;_adjunct_faculty,_virginia_tech_carilion_school",,31,56,0,3356,Professor at Virginia Tech specializing in Biochemistry.,"Biochemistry, Molecular Biology",Other,na
deepak_john_mathew,Deepak John Mathew,Indian Institute of Technology Delhi,Professor,professor,,6,3,0,116,Professor at Indian Institute of Technology Delhi specializing in Human-Robot Interaction.,"Human-Robot Interaction, Assistive Robotics",Mechanical Engineering,iit
deepak_rajan,Deepak Rajan,The Voleon Group,The Voleon Group,the_voleon_group,,22,41,0,2603,Professor at The Voleon Group specializing in Quantitative Finance.,"Quantitative Finance, Machine Learning ",Computer Science,na
dr._k_devaki_devi,Dr. K DEVAKI DEVI,Jawaharlal Nehru Technological University Anantapur,mechanical,mechanical,,8,7,0,189,Professor at Jawaharlal Nehru Technological University Anantapur specializing in Mechanical Engineering.,"Mechanical Engineering, Renewable Energy",Mechanical Engineering,na
dhananjay_kumar,Dhananjay Kumar,COEP (College of Engineering,mechanical,mechanical,,56,315,0,16730,Professor at COEP (College of Engineering specializing in Pune.,"Pune, Mechanical Engineering",Mechanical Engineering,na
dr._rvg_ravi_kumar,Dr. RVG Ravi Kumar,University of Hyderabad,mathematics,mathematics,,26,91,0,5498,Professor at University of Hyderabad specializing in Functional Analysis.,"Functional Analysis, Operator Theory",Mathematics,na
ganesh_gopalakrishnan,Ganesh Gopalakrishnan,University of Utah,cs,cs,,42,142,0,6470,Professor at University of Utah specializing in Formal Methods.,"Formal Methods, Parallel Computing",Other,na
gautam_biswas,Gautam Biswas,Vanderbilt University,cs,cs,,66,375,0,19679,Professor at Vanderbilt University specializing in Artificial Intelligence.,"Artificial Intelligence, Learning Technologies",Computer Science,na
tr_gowrishankar,TR Gowrishankar,Research Affiliate MIT,"Research Affiliate, MIT","research_affiliate,_mit",,28,42,0,3612,Professor at Research Affiliate MIT specializing in Biomechanics.,"Biomechanics, Medical Robotics",Medical Sciences,na
